0.469407,0.86808
0.915623,0.906785
1.36025,0.851441
1.8531,0.971403
2.35991,0.988685
2.8454,0.987706
3.26981,0.86775
3.71851,0.842367
4.16839,0.884749
4.65106,0.843256
5.10658,0.88673
5.58332,0.903532
6.06863,0.902286
6.54939,0.837614
7.02398,0.900288
7.50157,0.899978
7.98635,0.901524
8.47277,0.909095
8.95095,0.868449
9.41413,0.875797
9.9001,0.897668
10.3734,0.855942
10.8379,0.897223
11.3118,0.899111
11.7986,0.908718
12.2761,0.897747
12.7423,0.873504
13.2304,0.827651
13.708,0.909981
14.1752,0.901657
14.6426,0.894982
15.1141,0.905146
15.6072,0.879804
16.0661,0.827254
16.539,0.825785
17.0259,0.868671
17.5602,0.983209
18.0396,0.904489
18.5212,0.891237
18.9913,0.903708
19.4605,0.847922
19.9324,0.903803
20.4049,0.903416
20.8687,0.821762
21.3367,0.816325
21.8107,0.861662
22.2923,0.815208
22.7718,0.903833
23.2437,0.902911
23.7282,0.900255
24.2085,0.886528
24.6653,0.813692
25.1426,0.900783
25.6211,0.899848
26.092,0.813657
26.5819,0.899521
27.0719,0.883906
27.5618,0.8997
28.0359,0.892264
28.5181,0.864208
28.9742,0.898483
29.4575,0.896725
29.911,0.877897
30.3876,0.869867
30.8719,0.870706
31.3491,0.863756
